Name,Receptions,ReceivingYards,ReceivingTouchdowns
Jaelen Strong,31,330,4
Jake Lampman,0,0,0
Jakeem Grant,27,387,4
Jalen Saunders,1,7,0
Jalin Marshall,14,162,2
Jamar Newsome,5,73,0
James Jones,246,3157,31
James Washington,5,49,1
James Wright,18,197,0
Jamison Crowder,205,2374,13
Janarion Grant,0,0,0
Jared Abbrederis,13,163,0
Jarius Wright,166,2159,11
Jaron Brown,93,1250,11
Jarrett Boykin,57,731,3
Jarvis Landry,431,4430,23
Jason Avant,140,1567,3
Jason Hill,2,15,1
Javon Wims,0,0,0
Javontee Herndon,24,195,0
Jawill Davis,2,27,0
Jaydon Mickens,6,77,2
Je'Ron Hamm,2,13,0
Jeff Janis,17,200,1
Jeff Maehl,9,113,1
Jehu Chesson,2,18,0
Jeremy Butler,33,374,0
Jeremy Ebert,3,18,0
Jeremy Kerley,241,2802,12
Jeremy Maclin,326,4250,30
Jeremy Ross,43,506,3
Jermaine Kearse,234,3085,16
Jerome Simpson,79,1054,2
Jerrel Jernigan,38,391,2
Jerrell Jackson,0,0,0
Jerricho Cotchery,150,1872,14
Jesus Wilson,1,18,1
Joe Adams,1,7,0
Joe Anderson,0,0,0
John Brown,194,2939,20
John Ross,7,79,2
Johnny Holton,11,252,3
Johnny Knox,0,0,0
Jojo Natson,2,18,0
Jonathan Baldwin,23,353,1
Jonathan Krause,2,11,0
Jordan Leslie,1,26,0
Jordan Matthews,256,3062,21
Jordan Norwood,53,558,1
Jordan Payton,1,3,0
Jordan Shipley,23,244,1
Jordan Taylor,29,351,2
Jordan White,1,13,0
Jordy Nelson,404,5640,51
Joseph Morgan,14,471,3
Josh Bellamy,65,910,5
Josh Boyce,9,121,0
Josh Cooper,17,166,0
Josh Doctson,45,636,6
Josh Gordon,189,3230,17
Josh Huff,51,523,4
Josh Malone,7,75,1
Josh Morgan,78,794,3
Josh Reynolds,14,141,1
Joshua Cribbs,10,77,0
Juju Smith-Schuster,100,1478,9
Julian Edelman,388,4172,24
Julio Jones,575,8803,35
Junior Hemingway,25,233,2
Juron Criner,19,183,1
Justin Blackmon,93,1280,6
Justin Brown,12,94,0
Justin Hardee,1,10,0
Justin Hardy,66,655,7
Justin Hunter,83,1334,13
Justin Veltung,0,0,0
Justin Watson,0,0,0
KJ Brent,0,0,0
Kaelin Clay,6,85,0
Kamar Aiken,149,1725,9
Kasen Williams,10,92,0
Kassim Osgood,1,17,0
Kealoha Pilares,2,42,1
Keelan Cole,67,1084,4
Keenan Allen,359,4444,23
Keenan Reynolds,0,0,0
Keith Mumphery,24,198,0
Keke Coutee,20,193,1
Kelvin Benjamin,194,2787,20
Kenbrell Thompkins,70,893,4
Kendall Wright,339,3858,19
Kendrick Bourne,26,377,2
Kenny Britt,228,3372,17
Kenny Golladay,55,905,6
Kenny Stills,237,3861,29
Keon Hatcher,0,0,0
Kerry Taylor,22,229,1
Keshawn Martin,62,685,5
Kevin Cone,1,12,0
Kevin Dorsey,1,4,0
Kevin Elliott,10,108,0
Kevin Norwood,9,102,0
Kevin Ogletree,58,755,6
Kevin Smith,3,43,0
Kevin Walter,41,518,2
Kevin White,21,193,0
Khadarel Hodge,1,14,0
Khalif Raymond,1,12,0
Kris Adams,2,26,0
Kris Durham,52,669,3
Krishawn Hogan,0,0,0
Kyle Williams,26,325,1
LaQuan Williams,0,0,0
LaRon Byrd,1,8,0
LaVon Brazill,23,347,3
Lamaar Thomas,2,31,0
Lance Lenoir,0,0,0
Lance Lewis,0,0,0
Lance Moore,145,2033,14
Laquon Treadwell,40,395,1
Larry Fitzgerald,567,6185,38
Larry Pinkard,1,5,0
Laurent Robinson,24,252,0
Lavelle Hawkins,5,62,0
Legedu Naanee,1,19,0
Leonard Hankerson,94,1245,9
Leonte Carroo,10,98,1
Lestar Jean,10,186,1
Louis Murphy,80,1072,5
Lucky Whitehead,9,64,0
M Harris,0,0,0
M White,16,154,1
Mack Hollins,16,226,1
Malcolm Mitchell,32,401,4
Malcom Floyd,144,2380,14
Marc Mariani,22,300,0
Marcus Easley,3,71,1
Marcus Johnson,11,147,1
Marcus Kemp,1,7,0
Mardy Gilyard,2,15,0
Mario Alford,1,15,0
Mario Manningham,51,534,1
Markus Wheaton,110,1559,8
Marlon Brown,87,891,7
Marlon Moore,20,259,2
Marqise Lee,171,2166,8
Marques Colston,262,3519,24
Marquess Wilson,56,777,3
Marquez Valdes-Scantling,12,212,1
Marquis Bundy,0,0,0
Marquise Goodwin,114,1922,11
Martavis Bryant,140,2137,17
Marvin Hall,7,124,1
Marvin Jones,266,4001,31
Marvin McNutt,0,0,0
Matt Hazel,1,1,0
Matt Willis,10,90,0
Matthew Slater,0,0,0
Maurice Harris,18,188,1
Maurice Stovall,0,0,0
Maxwell McCaffrey,1,4,0
Michael Campanaro,31,310,2
Michael Campbell,0,0,0
Michael Clark,4,41,0
Michael Crabtree,434,4973,41
Michael Floyd,256,3859,24
Michael Gallup,7,109,0
Michael Jenkins,40,449,2
Michael Preston,10,96,2
Michael Thomas,242,2901,17
Micheal Spurlock,24,208,1
Mike Brown,39,534,2
Mike Evans,342,5063,35
Mike Thomas,26,238,1
Mike Wallace,367,4866,33
Mike Williams,120,1702,15
Miles Austin,150,1979,9
Mohamed Massaquoi,17,254,0
Mohamed Sanu,300,3452,23
Mose Frazier,0,0,0
Nate Burleson,66,701,3
Nate Washington,191,2970,13
Nathan Palmer,1,-4,0
Neal Sterling,23,232,0
Nelson Agholor,153,1719,12
Nick Toon,21,283,1
Nick Williams,28,263,2
Noah Brown,4,33,0
Odell Beckham Jr,358,4930,39
Patrick Edwards,5,46,0
Patrick Turner,0,0,0
Paul McRoberts,1,6,0
Paul Richardson,111,1514,10
Paul Turner,9,126,0
Percy Harvin,135,1401,5
Pharoh Cooper,25,190,0
Phil Bates,0,0,0
Phillip Dorsett,82,1137,5
Pierre Garcon,436,5274,21
Plaxico Burress,3,42,1
Preston Parker,41,461,2
Quan Bray,6,75,0
Quincy Adeboyejo,0,0,0
Quincy Enunwa,102,1459,5
Quinton Patton,73,880,1
Ramses Barden,14,220,0
Randall Cobb,424,4960,39
Randy Moss,28,434,3
Rannell Hall,0,0,0
Rashad Greene,24,125,2
Rashad Ross,9,192,1
Rashard Higgins,49,633,3
Rashawn Scott,0,0,0
Ray-Ray McCloud,3,15,0
Reggie Wayne,208,2637,9
Ricardo Lockette,20,346,3
Ricardo Louis,45,562,0
Richard Goodman,0,0,0
Richie James,1,7,0
Rico Richardson,0,0,0
Riley Cooper,146,1987,16
Riley McCarron,0,0,0
Rishard Matthews,228,3147,21
Robby Anderson,119,1798,12
Robert Davis,0,0,0
Robert Foster,2,30,0
Robert Herron,6,58,1
Robert Meachem,37,645,4
Robert Tonyan Jr.,0,0,0
Robert Woods,295,3756,20
Rod Streater,127,1755,10
Roddy White,278,3489,18
Rodney Austin,0,0,0
Rodney Smith,0,0,0
Roger Lewis,43,513,4
Roscoe Parrish,0,0,0
Rueben Randle,188,2644,20
Russell Gage,1,9,0
Russell Shepard,51,695,4
Ruvell Martin,4,41,0
Ryan Broyles,32,420,2
Ryan Grant,110,1255,7
Ryan Spadola,0,0,0
Ryan Switzer,19,108,1
Ryan Whalen,7,53,0
Saalim Hakim,0,0,0
Sammie Coates,29,528,2
Sammie Stroughter,1,14,0
Sammy Watkins,214,3324,26
Santana Moss,93,1141,10
Santonio Holmes,51,795,2
Seantavious Jones,0,0,0
Seth Roberts,128,1470,12
Seyi Ajirotutu,11,158,1
Shane Wynn,1,19,0
Shelton Gibson,3,59,0
Sidney Rice,65,979,10
Skye Dawson,2,12,0
Solomon Patton,0,0,0
Stacy Coley,0,0,0
Stedman Bailey,59,843,2
Stefan Logan,6,28,0
Stefon Diggs,240,2907,18
Stephen Burton,13,111,1
Stephen Hill,45,594,4
Stephen Williams,0,0,0
Sterling Shepard,155,1755,12
Steve Breaston,7,74,0
Steve Johnson,211,2575,15
Steve Smith,346,4584,22
T.Y. Hilton,452,7121,36
TJ Graham,61,794,4
TJ Jones,47,634,2
Tajae Sharpe,50,643,3
Tandon Doss,26,428,1
Tanner Gentry,3,35,0
Tanner McEvoy,14,253,2
Tavarres King,22,303,3
Tavon Austin,201,1828,14
Taylor Gabriel,160,2130,10
Taywan Taylor,34,413,2
Ted Ginn,215,3160,25
Terrance Copper,8,79,0
Terrance Williams,232,3377,20
Terrelle Pryor,113,1546,7
Tevaun Smith,0,0,0
Tim Patrick,2,32,0
Tim White,1,14,0
Tiquan Underwood,52,865,6
Titus Young,33,383,4
Tobais Palmer,0,0,0
Tommy Streeter,0,0,0
Tommylee Lewis,17,192,1
Toney Clemons,3,41,0
Tony Lippett,0,0,0
Tony Washington,1,9,0
Tori Gurley,1,15,0
Torrey Smith,264,4220,34
Travis Benjamin,192,2930,18
Travis Rudolph,8,101,0
Tre McBride,10,152,1
Tre'Quan Smith,4,129,2
Trent Sherfield,0,0,0
Trent Taylor,59,555,3
Trevor Davis,8,94,1
Trey Quinn,0,0,0
Trindon Holliday,2,17,0
Tyler Boyd,113,1283,7
Tyler Lockett,160,2176,14
Tyler Murphy,1,16,0
Tyreek Hill,170,2343,19
Tyrell Williams,130,2187,15
Victor Bolden Jr.,1,10,0
Victor Cruz,221,3013,16
Vince Mayle,0,0,0
Vincent Brown,54,612,1
Vincent Jackson,268,4326,20
Vyncint Smith,1,28,0
Walter Powell,14,142,0
Wendall Williams,4,75,0
Wes Welker,253,2698,18
Will Fuller,96,1369,12
Willie Snead,179,2284,8
Zach Pascal,14,124,1
Zay Jones,43,515,3
